country,counter
United States,2130
United Kingdom,910
Germany,346
India,166
China,145
South Africa,122
Japan,95
Nigeria,91
Spain,89
Australia,84
Argentina,82
Canada,81
Hong Kong,79
Italy,75
France,70
New Zealand,58
Colombia,54
Mexico,53
Switzerland,52
Taiwan,51
Bulgaria,44
,43
Poland,34
Saudi Arabia,22
Thailand,21
Indonesia,19
Kuwait,19
Egypt,19
Malaysia,18
South Korea,18
Vietnam,16
Lebanon,16
Brazil,16
Romania,15
Philippines,15
United Arab Emirates,11
Sweden,11
Syria,10
Belgium,9
Mauritius,8
Austria,8
Turkey,8
Czech Republic,7
Cameroon,7
Netherlands,7
Ireland,6
Russia,5
"United Kingdom,",5
Kenya,5
Chile,5
Bangladesh,4
Portugal,4
Hungary,4
Norway,4
Singapore,4
Iceland,3
Serbia,3
Namibia,3
Uruguay,2
Peru,2
Mozambique,1
Ghana,1
Zimbabwe,1
Israel,1
Pakistan,1
Denmark,1
Paraguay,1
Cambodia,1
Soviet Union,1
Georgia,1
Iran,1
Finland,1
Venezuela,1
"Poland,",1
Slovenia,1
Guatemala,1
Jamaica,1
Somalia,1
Croatia,1
